
COMPUTATION OF EXPECTED POISSON FREQUENCIES

--------------------------------------------


Values(x)  Observed Frequencies 	fx 	  	 lambda/(x+1) 	 	 Expected Frequencies

    0 	 	    56 	 	 	        0   	 	 1.972000 	 	 69.589111 = ~    70

    1 	 	   156 	 	 	      156   	 	 0.986000 	 	 137.229721 = ~   137

    2 	 	   132 	 	 	      264   	 	 0.657333 	 	 135.308502 = ~   135

    3 	 	    92 	 	 	      276   	 	 0.493000 	 	 88.942787 = ~    89

    4 	 	    37 	 	 	      148   	 	 0.394400 	 	 43.848793 = ~    44

    5 	 	    22 	 	 	      110   	 	 0.328667 	 	 17.293964 = ~    17

    6 	 	     4 	 	 	       24   	 	 0.281714 	 	 5.683949 = ~     6

    7 	 	     0 	 	 	        0   	 	 0.246500 	 	 1.601250 = ~     2

    8 	 	     1 	 	 	        8   	 	 0.219111 	 	 0.394708 = ~     0
